iter	Passed	Remaining
0	1	156
1	2	145
2	4	137
3	5	124
4	6	129
5	8	126
6	9	123
7	10	121
8	11	118
9	12	116
10	13	112
11	14	109
12	15	106
13	17	104
14	17	101
15	19	99
16	20	98
17	21	96
18	21	93
19	22	91
20	23	89
21	24	87
22	25	85
23	26	83
24	27	81
25	28	80
26	28	78
27	29	76
28	30	75
29	31	73
30	32	72
31	33	70
32	34	69
33	35	68
34	36	67
35	37	65
36	37	64
37	38	63
38	39	62
39	40	61
40	41	59
41	41	57
42	42	56
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	54	44
55	55	43
56	56	42
57	56	41
58	57	40
59	58	39
60	59	38
61	60	37
62	61	36
63	62	35
64	63	33
65	64	32
66	64	31
67	65	30
68	66	30
69	68	29
70	68	28
71	69	27
72	70	26
73	71	25
74	72	24
75	73	23
76	73	22
77	74	21
78	75	20
79	76	19
80	77	18
81	78	17
82	79	16
83	79	15
84	80	14
85	81	13
86	82	12
87	83	11
88	84	10
89	85	9
90	86	8
91	87	7
92	88	6
93	89	5
94	90	4
95	91	3
96	92	2
97	92	1
98	93	0
99	94	0
