iter	Passed	Remaining
0	1351	1350623
1	1353	675540
2	1355	450434
3	1356	337887
4	1359	270468
5	1361	225489
6	1362	193349
7	1364	169209
8	1366	150417
9	1367	135419
10	1369	123150
11	1371	112909
12	1372	104242
13	1375	96864
14	1377	90426
15	1378	84796
16	1380	79815
17	1385	75560
18	1389	71736
19	1391	68194
20	1393	64986
21	1398	62176
22	1400	59488
23	1401	57013
24	1405	54809
25	1406	52699
26	1408	50746
27	1411	49009
28	1413	47331
29	1415	45767
30	1418	44350
31	1421	42986
32	1422	41694
33	1425	40495
34	1427	39352
35	1428	38264
36	1431	37244
37	1434	36323
38	1436	35396
39	1438	34529
40	1440	33691
41	1442	32897
42	1443	32136
43	1446	31437
44	1448	30747
45	1450	30081
46	1452	29446
47	1454	28840
48	1455	28254
49	1457	27689
50	1459	27153
51	1463	26675
52	1465	26177
53	1466	25699
54	1468	25239
55	1470	24790
56	1472	24363
57	1477	23993
58	1478	23583
59	1480	23188
60	1481	22804
61	1482	22434
62	1484	22080
63	1485	21732
64	1487	21395
65	1489	21072
66	1492	20780
67	1493	20471
68	1494	20170
69	1496	19880
70	1497	19596
71	1499	19321
72	1500	19052
73	1501	18792
74	1503	18541
75	1504	18292
76	1508	18077
77	1509	17846
78	1511	17621
79	1513	17406
80	1515	17192
81	1517	16988
82	1518	16775
83	1522	16602
84	1524	16411
85	1526	16220
86	1528	16036
87	1530	15857
88	1531	15678
89	1533	15503
90	1534	15332
91	1538	15187
92	1541	15028
93	1542	14867
94	1545	14720
95	1546	14565
96	1548	14415
97	1551	14284
98	1553	14140
99	1555	13997
100	1556	13857
101	1558	13719
102	1559	13584
103	1561	13455
104	1570	13384
105	1572	13263
106	1574	13139
107	1577	13030
108	1579	12911
109	1582	12803
110	1584	12687
111	1585	12569
112	1586	12454
113	1587	12340
114	1589	12229
115	1590	12120
116	1591	12010
117	1592	11905
118	1594	11801
119	1595	11698
120	1598	11609
121	1599	11509
122	1600	11413
123	1602	11320
124	1604	11228
125	1605	11136
126	1606	11043
127	1608	10954
128	1609	10869
129	1611	10783
130	1612	10697
131	1614	10613
132	1615	10531
133	1616	10449
134	1618	10368
135	1619	10287
136	1620	10208
137	1621	10131
138	1624	10065
139	1626	9990
140	1627	9916
141	1629	9843
142	1630	9772
143	1632	9702
144	1633	9632
145	1634	9562
146	1636	9495
147	1637	9428
148	1641	9373
149	1643	9311
150	1644	9248
151	1646	9185
152	1648	9124
153	1649	9060
154	1650	8998
155	1652	8937
156	1655	8889
157	1656	8830
158	1658	8770
159	1659	8712
160	1660	8652
161	1661	8596
162	1663	8543
163	1665	8489
164	1666	8435
165	1670	8395
166	1672	8343
167	1674	8292
168	1676	8245
169	1678	8194
170	1679	8144
171	1681	8094
172	1685	8059
173	1687	8010
174	1689	7962
175	1690	7914
176	1691	7866
177	1692	7818
178	1694	7770
179	1695	7724
180	1696	7678
181	1700	7641
182	1701	7597
183	1703	7552
184	1704	7508
185	1705	7463
186	1706	7421
187	1708	7378
188	1709	7336
189	1711	7295
190	1716	7270
191	1718	7231
192	1721	7198
193	1722	7158
194	1724	7118
195	1725	7078
196	1726	7038
197	1731	7012
198	1732	6975
199	1734	6939
200	1737	6908
201	1739	6872
202	1741	6836
203	1745	6810
204	1747	6775
205	1748	6740
206	1750	6706
207	1752	6672
208	1753	6637
209	1755	6603
210	1757	6570
211	1760	6542
212	1762	6510
213	1763	6477
214	1765	6445
215	1766	6413
216	1768	6381
217	1770	6349
218	1771	6317
219	1772	6284
220	1776	6261
221	1778	6233
222	1781	6206
223	1782	6176
224	1784	6147
225	1785	6116
226	1787	6085
227	1791	6064
228	1792	6035
229	1794	6006
230	1796	5979
231	1798	5953
232	1800	5925
233	1801	5897
234	1803	5871
235	1807	5851
236	1809	5824
237	1811	5798
238	1812	5772
239	1814	5745
240	1815	5717
241	1816	5691
242	1818	5665
243	1823	5648
244	1824	5622
245	1827	5600
246	1828	5574
247	1829	5548
